# planets   transits   detectable
    22916        236           28
    23322        288           20
    23142        218           20
    23200        266           34
    22872        236           22
    22998        268           36
    23086        250           38
    22844        246           44
    22972        290           28
    22904        236           24
    23376        242           24
    22680        248           28
    22866        222           22
    23428        238           30
    23464        218           20
    23120        266           50
    22776        238           34
    22680        226           32
    23234        248           22
    23088        210           22
    23378        274           34
    23476        252           26
    23520        272           30
    22840        276           34
    23012        248           24
    23420        224           34
    23078        262           22
    23196        242           26
    23074        228           30
    23170        254           36
    22892        222           24
    23308        238           28
    23036        218           30
    23076        220           12
    22984        266           26
    22662        270           28
    23016        224           14
    23246        250           28
    23202        240           22
    23392        256           28
    23392        246           18
    23062        264           34
    22826        222           22
    23000        228           30
    23180        254           26
    23262        230           30
    23270        236           30
    23228        204           36
    22966        256           24
    23118        208           26
    23120        250           30
    22916        232           18
    23146        242           34
    23252        304           42
    23044        234           30
    23330        236           22
    23094        274           30
    22808        226           32
    22946        262           22
    22956        258           42
    22976        280           32
    22942        254           32
    22752        270           48
    23150        258           24
    22826        228           30
    22840        224           22
    22844        218           20
    22830        240           26
    23472        246           28
    23090        220           14
    23390        250           40
    23026        266           24
    23302        262           32
    23366        238           24
    23084        284           24
    23444        264           30
    23246        222           24
    22630        246           28
    22968        242           18
    23380        242           34
    23140        256           32
    23152        224           24
    22958        164           12
    23118        228           42
    22944        274           22
    22954        278           28
    23246        246           42
    23038        264           42
    23030        280           46
    23314        218           22
    23040        240           24
    23604        282           36
    23272        190           38
    23162        248           36
    23082        252           22
    22940        268           24
    23086        272           40
    22888        266           34
    23572        296           30
    23238        270           32
    23310        230           16
    23372        250           26
    22824        234           16
    22806        212           18
    23386        234           24
    22834        222           24
    23196        290           34
    23270        254           26
    22802        278           30
    23420        236           32
    22902        224           18
    22936        252           26
    23126        222           14
    23098        218           38
    23526        236           22
    23048        242           30
    22996        272           32
    23346        238           34
    23108        240           24
    23126        224           26
    22672        248           32
    23310        252           26
    23028        268           34
    22862        226           26
    23052        248           22
    23282        274           26
    23068        218           28
    23010        232           26
    22936        248           20
    22926        258           24
    23254        266           22
    23072        244           28
    23058        254           32
    22902        272           26
    23118        224           32
    23290        222           40
    23528        234           28
    23024        248           20
    22870        278           24
    22666        252           36
    22994        260           20
    23040        240           24
    23126        220           34
    23078        260           26
    22930        264           32
    23350        234           34
    22850        226           32
    23080        232           30
    23214        270           28
    23240        260           20
    22602        242           38
    22820        242           14
    23332        250           26
    23542        276           24
    23536        220           30
    22722        230           22
    22902        262           34
    23044        274           32
    22832        272           24
    23258        240           28
    23060        292           32
    22880        248           28
    23412        296           36
    22934        296           16
    23006        226           38
    23078        262           26
    23444        268           30
    23242        248           28
    23154        216           26
    23248        228           22
    23080        246           30
    23258        266           24
    23186        242           34
    22782        268           34
    23092        272           28
    22864        244           26
    23300        244           26
    22924        242           22
    23386        242           40
    22810        254           36
    23044        222           26
    22942        262           32
    23380        248           28
    23302        262           48
    23124        310           32
    23014        234           22
    22880        252           38
    22808        244           34
    23124        228           24
    23086        264           22
    23160        260           36
    22904        250           34
    22976        274           34
    22964        244           46
    22916        276           34
    23166        246           32
    23098        248           36
    23372        230           28
    23380        266           42
    23038        252           24
    23124        266           24
    22848        228           22
    22800        222           36
    23508        240           32
    23244        260           20
    23396        246           20
    23110        208           28
    23306        224            8
    22842        242           38
    22814        244           30
    22820        226           28
    22700        234           30
    23570        284           32
    23318        252           28
    23100        220           28
    23292        258           26
    22860        270           38
    23184        230           18
    22778        240           24
    22838        226           20
    23262        256           40
    22856        258           34
    22826        258           36
    23122        250           28
    23242        248           28
    22784        234           22
    23180        224           40
    23542        254           28
    23122        256           46
    22886        224           18
    22912        240           38
    23052        232           24
    23590        264           30
    22804        198           28
    23348        258           28
    23352        264           30
    22886        228           18
    23136        248           32
    22992        218           26
    23388        224           34
    23198        264           32
    22982        234           26
    23096        262           44
    23158        200           12
    23002        270           38
    22904        228           18
    23470        250           14
    23172        246           32
    23178        230           28
    23076        254           20
    23274        232           26
    23014        228           24
    23764        254           32
    23108        256           22
    23442        284           34
    22788        266           26
    23134        276           22
    23018        266           22
    23088        258           28
    23182        262           30
    23292        214           30
    23178        276           32
    23216        264           36
    23382        244           18
    23180        210           38
    23002        232           20
    23098        200           12
    23164        222           22
    23110        238           36
    22882        250           42
    23060        214           20
    22682        302           22
    23244        272           30
    22972        240           26
    23220        218           20
    23228        244           38
    23074        258           22
    22962        258           44
    23420        248           34
    23036        282           20
    22920        262           22
    23112        276           48
    22922        274           36
    23274        218           24
    22956        218           20
    23220        240           44
    23134        260           32
    23178        218           28
    22882        282           24
    23032        214           28
    23034        192           20
    23076        262           28
    23190        290           32
    22750        238           20
    23016        252           34
    22834        236           32
    23190        230           30
    23180        226           20
    23130        204           30
    22720        240           34
    23040        234           30
    22936        220           26
    23090        250           18
    23500        248           22
    23188        264           38
    23458        236           34
    23242        236           24
    22974        236           18
    22970        250           18
    23176        248           38
    23062        244           36
    22970        246           26
    22880        216           22
    23006        188           16
    23224        228           30
    22888        252           34
    23038        244           34
    23116        264           22
    22964        250           36
    22766        224           28
    23076        244           24
    23326        222           24
    22956        206           24
    22944        246           28
    22966        210           20
    23546        254           36
    23208        238           32
    22788        240           26
    23100        240           32
    23068        282           40
    23160        202           26
    22810        254           26
    23286        258           34
    22848        228           30
    23580        202           24
    23228        220           16
    22918        240           22
    22932        258           28
    23302        256           32
    22998        242           24
    23220        238           34
    23214        240           30
    23296        246           36
    22920        220           20
    23372        258           38
    23184        248           28
    22748        224           26
    23134        244           14
    23122        260           22
    22818        242           42
    23110        246           30
    22892        260           26
    22902        230           24
    22696        234           18
    22918        272           34
    23174        212           14
    23090        240           30
    23020        250           22
    23568        236           26
