# planets   transits   detectable
    46218        426           32
    46402        462           54
    46034        482           38
    46138        462           56
    46128        476           50
    46418        502           50
    46008        542           48
    45412        454           72
    45942        494           42
    46376        556           56
    45996        512           64
    46656        546           66
    45992        500           74
    45872        476           40
    46428        518           60
    45882        478           82
    45950        484           70
    46178        462           54
    46262        506           64
    46262        422           48
    45990        520           54
    46158        468           38
    45798        530           40
    46338        424           38
    46856        484           60
    46300        530           58
    46328        540           44
    46774        510           42
    46478        476           34
    46648        498           56
    45662        466           50
    45792        500           54
    45578        464           72
    46370        490           44
    46578        468           52
    46380        490           54
    46272        462           38
    46698        510           74
    46000        516           70
    46492        520           52
    45948        494           56
    46262        510           50
    45956        528           54
    46120        510           54
    46326        466           58
    46796        512           28
    45950        366           30
    46054        526           54
    47042        476           58
    46374        458           48
    45916        442           44
    45186        466           50
    46182        466           64
    46164        522           66
    46242        534           58
    46418        462           32
    46342        494           50
    46266        492           50
    45920        498           42
    45986        492           60
    45824        528           52
    46180        564           68
    46608        514           36
    46438        454           52
    46434        506           50
    46146        466           58
    45794        456           46
    46554        474           38
    46786        490           54
    46328        504           46
    46524        472           48
    46204        428           38
    46158        470           46
    46152        462           46
    46198        496           44
    46046        410           34
    46454        546           64
    46636        500           60
    46406        562           50
    46054        450           50
    45848        478           36
    45864        524           52
    46498        528           44
    45814        486           34
    45834        458           54
    46248        474           44
    46588        526           64
    46550        468           42
    47004        484           46
    46106        496           64
    46416        512           48
    45852        458           74
    46280        438           42
    46030        450           52
    45722        498           70
    46292        460           44
    46546        534           56
    46780        482           64
    46340        496           48
    45964        454           46
    45870        586           78
    46364        488           54
    46642        450           28
    46518        450           42
    46686        506           42
    46354        482           64
    46240        464           34
    46458        468           42
    45812        468           36
    46494        518           34
    46112        488           44
    46140        486           44
    46242        488           46
    45942        520           80
    46156        524           54
    46136        508           46
    46064        512           68
    45922        498           54
    46928        438           56
    46332        522           60
    46210        524           60
    46814        446           44
    46424        526           64
    46252        462           50
    45862        554           66
    45830        544           58
    46112        472           76
    45688        498           44
    46104        466           50
    46000        510           58
    46216        500           60
    46528        526           52
    46208        522           46
    46106        488           54
    46556        486           52
    46150        512           62
    45852        488           60
    46280        496           50
    46388        452           38
    45954        474           56
    46244        508           68
    46540        458           56
    45940        574           68
    46404        502           44
    46194        454           54
    46142        516           64
    46250        532           66
    45838        518           52
    46048        506           56
    46706        488           44
    46054        480           44
    46070        488           56
    46524        508           52
    46180        440           44
    46698        502           48
    46220        496           38
    46090        448           52
    46100        446           56
    46646        520           42
    46456        468           56
    46176        520           64
    46220        510           50
    46458        498           48
    46564        516           42
    45766        526           60
    46000        452           60
    46126        508           40
    46006        480           64
    46680        486           28
    45966        494           48
    46074        504           66
    45856        450           32
    46356        482           54
    45802        500           52
    46274        532           44
    45592        492           64
    46282        542           48
    46332        486           60
    46224        590           58
    46526        482           38
    46448        470           46
    46318        486           66
    45658        552           42
    46570        490           50
    46510        464           46
    46316        492           42
    46512        472           52
    46330        482           48
    46178        462           40
    46384        506           58
    46444        482           42
    46096        500           58
    46432        446           36
    46050        496           64
    46588        490           52
    46290        496           56
    46202        470           48
    45928        478           58
    46054        524           56
    45998        512           56
    46248        450           50
    46060        546           78
    46048        500           50
    45672        492           56
    45460        458           40
    45744        508           62
    46552        460           38
    46180        488           48
    45628        510           56
    46582        512           42
    46368        494           58
    46208        502           50
    46392        478           50
    46308        476           50
    46124        500           46
    45878        472           62
    46250        488           54
    46138        460           26
    46622        468           62
    46008        486           50
    46434        458           50
    46250        474           48
    46184        490           62
    46074        538           58
    46674        536           74
    46328        514           54
    46406        500           44
    46562        500           50
    46338        502           48
    46680        466           54
    46480        476           40
    46068        490           48
    45616        506           50
    46364        492           58
    46544        484           60
    46264        514           50
    46104        438           48
    45814        496           48
    46044        464           30
    46148        530           54
    46228        498           52
    46036        454           54
    45682        502           58
    46100        486           70
    46124        512           54
    46574        512           50
    45948        488           60
    46032        454           46
    45790        530           60
    46372        472           48
    46696        516           48
    46222        512           48
    45986        492           54
    46300        468           64
    46306        494           48
    46108        538           52
    46888        508           46
    46090        542           56
    46280        482           50
    45712        498           64
    45916        456           66
    45928        494           50
    46258        510           48
    45794        454           38
    46368        466           44
    46116        482           48
    46356        518           60
    45882        468           40
    46252        514           50
    46146        466           54
    46412        494           52
    46278        474           46
    45866        522           60
    45754        492           54
    46250        466           40
    45862        498           58
    45726        502           56
    46362        448           50
    45808        496           74
    46256        514           42
    46004        514           66
    46578        536           60
    46060        486           46
    46278        520           46
    45920        482           46
    46030        482           40
    46272        434           46
    45980        538           52
    46590        492           74
    46208        526           54
    45922        456           56
    45968        532           66
    45766        538           36
    46068        508           36
    46066        440           24
    46308        512           50
    46494        500           54
    46192        498           70
    45456        532           54
    46502        514           80
    46586        462           52
    45936        526           38
    46208        446           38
    46048        488           50
    46394        458           50
    46476        472           46
    46376        562           60
    45988        472           62
    46634        484           46
    46232        514           48
    46054        442           48
    46138        496           52
    46204        500           52
    45506        486           68
    45956        490           46
    46162        488           54
    46952        500           52
    46228        470           46
    46140        438           44
    46542        520           62
    46114        534           50
    46178        488           58
    46212        486           52
    46434        520           64
    46014        500           42
    45838        506           56
    45836        472           30
    46100        500           48
    46772        442           48
    46572        526           50
    45668        490           44
    46358        476           54
    46244        488           40
    46452        492           42
    46434        506           54
    46166        442           74
    45804        486           36
    45948        486           54
    46070        480           74
    46294        484           64
    46998        530           62
    46582        504           44
    46170        546           52
    46300        538           58
    45684        480           32
    46440        512           58
    45906        450           42
    46398        496           56
    46712        504           56
    46674        480           42
    46156        484           66
    46054        480           50
    46330        494           40
    46026        460           62
    45996        500           60
    46150        472           44
    45972        524           46
    46048        444           36
    46106        432           36
    46372        526           56
    46502        526           48
    45802        498           76
    45854        544           64
    46124        518           70
    45828        578           56
    45858        560           48
    46266        542           76
    46578        470           42
    45978        520           60
    46018        464           34
    46504        524           60
    46066        498           40
    45904        536           62
    45918        462           44
    46268        442           46
    45936        472           46
    46096        428           40
    46276        486           60
    46288        482           50
    46254        532           64
    46098        484           58
    46186        492           58
    46412        550           60
    46054        488           44
    46784        500           66
    45882        510           60
    46044        430           46
    46146        516           64
    46496        494           78
    46128        470           42
    46652        530           56
    45844        526           64
    46364        488           54
    46178        480           42
    46304        490           32
    46144        484           28
    45828        462           44
    46092        538           56
    45744        522           72
    45858        512           66
    46180        506           66
    46174        480           44
    46154        482           52
    45538        522           32
    46566        498           48
